SaleOrder Key,CustomerKey,Date,Sales Amount
SO43697,21768,7/1/2017,3578.27
SO43698,28389,7/1/2017,3399.99
SO43699,25863,7/1/2017,3399.99
SO43700,14501,7/1/2017,699.10
SO43701,11003,7/1/2017,3399.99
SO43702,27645,7/1/2017,3578.27
SO43703,16624,7/1/2017,3578.27
SO43704,11005,7/1/2017,3374.99
SO43705,11011,7/1/2017,3399.99
SO43706,27621,7/2/2017,3578.27
SO43707,27616,7/2/2017,3578.27
SO43708,20042,7/2/2017,699.10
SO43709,16351,7/2/2017,3578.27
SO43710,16517,7/2/2017,3578.27
SO43711,27606,7/2/2017,3578.27
SO43712,13513,7/2/2017,3578.27
SO43713,27601,7/3/2017,3578.27
SO43714,13591,7/3/2017,3578.27
SO43715,16483,7/3/2017,3578.27
SO43716,16529,7/3/2017,3578.27
SO43717,25249,7/3/2017,699.10
SO43718,27668,7/3/2017,3578.27
SO43719,27612,7/3/2017,3578.27
SO43720,13264,7/3/2017,3578.27
SO43721,13590,7/3/2017,3578.27
SO43722,13581,7/4/2017,3578.27
SO43723,14520,7/4/2017,699.10
SO43724,16520,7/4/2017,3578.27
SO43725,13258,7/4/2017,3578.27
SO43726,14560,7/4/2017,699.10
SO43727,16607,7/4/2017,3578.27
SO43728,27666,7/5/2017,3578.27
SO43729,11238,7/5/2017,3399.99
SO43730,25861,7/5/2017,3399.99
SO43731,16629,7/5/2017,3578.27
SO43732,11025,7/5/2017,3374.99
SO43733,27577,7/5/2017,3578.27
SO43734,27604,7/5/2017,3578.27
SO43735,16522,7/5/2017,3578.27
SO43736,11002,7/5/2017,3399.99
SO43737,13261,7/6/2017,3578.27
SO43738,11606,7/6/2017,3578.27
SO43739,13563,7/6/2017,3578.27
SO43740,16527,7/6/2017,3578.27
SO43741,27671,7/6/2017,3578.27
SO43742,13576,7/6/2017,3578.27
SO43743,11007,7/6/2017,3399.99
SO43744,16631,7/6/2017,3578.27
SO43745,16514,7/7/2017,3578.27
SO43746,16616,7/7/2017,3578.27
SO43747,27623,7/7/2017,3578.27
SO43748,27625,7/7/2017,3578.27
SO43749,27636,7/7/2017,3578.27
SO43750,11591,7/7/2017,3578.27
SO43751,11592,7/7/2017,3578.27
SO43752,13265,7/7/2017,3578.27
SO43753,16482,7/7/2017,3578.27
SO43754,27617,7/8/2017,3578.27
SO43755,27670,7/8/2017,3578.27
SO43756,19941,7/8/2017,699.10
SO43757,11017,7/8/2017,3374.99
SO43758,27646,7/8/2017,3578.27
SO43759,13257,7/8/2017,3578.27
SO43760,16352,7/8/2017,3578.27
SO43761,16493,7/8/2017,3578.27
SO43762,27578,7/9/2017,3578.27
SO43763,16525,7/9/2017,3578.27
SO43764,16612,7/9/2017,3578.27
SO43765,11010,7/9/2017,3399.99
SO43766,16518,7/9/2017,3578.27
SO43767,11001,7/9/2017,3374.99
SO43768,27649,7/10/2017,3578.27
SO43769,21659,7/10/2017,3578.27
SO43770,27614,7/10/2017,3578.27
SO43771,14559,7/10/2017,699.10
SO43772,16524,7/10/2017,3578.27
SO43773,16526,7/10/2017,3578.27
SO43774,16348,7/10/2017,3578.27
SO43775,11027,7/10/2017,3399.99
SO43776,13260,7/10/2017,3578.27
SO43777,16515,7/10/2017,3578.27
SO43778,11018,7/10/2017,3399.99
